reviews,category
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요      점이에요      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  파트   신유형   파트  독해능력이 완전 부족했는데 조금씩 맞춰가고있습니다      기타의견      나만의 공부      부사절  단어  접속사  전치사등등 따로 문서화해놓고 매일매일 보고있어요  열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
  보디   점수가 낮게나오는편이라 인강을 듣기시작했습니다 한승태 쌤이 유명해서 선택했는데 일단 강의력이 좋으셔서 귀에 잘 들어와요 시험꿀팁같은것도 도움이 많이 됐습니다 추천합니다 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요       기타의견      나만의 공부       열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영     현재 생각하고 있는 분야와는 다른 일을 하다가 퇴직하고  다시금 취업준비를 하며 토익을 준비하게 되어  어느정도부터 다시 공부를 해야하나 고민하던 차에    점을 목표로 잡고  강의를 찾게 되었고  본강의 한 권으로 끝내는 해커스 토익             전반부 강의를 알게되었습니다   이전의 지식들은 초기화된 상태에서 기초부터 갈고 닦을수 있는  강의였기에 본강의에서 익힌 내용을 바탕으로  토익에 관해 어떠한 부담없이 맘편히 준비할 수 있을 것 같습니다              전반부 강의는 공인영어시험을 위한 기초지식 뿐 아니라  어떻게 발음이 되고 어떤 식으로 말을 해야하는지 반복 학습을 할 수 있고   어떤 식으로 독해를 정확하면서 빠르게 해야할지 익힐 수 있습니다   또한 우리의 실생활 속에서 사용할 법한 발음이나   문제풀이 팁 등 여러모로 꽉 차있는 강의였다고 생각합니다  저처럼 긴 공백을 가지고 다시금 토익 공부를 시작하시는 분들에게 강력추천합니다,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요    최소    에서    점을 목표로 잡고 공부했습니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요        제 강의 수강했습니다  처음에는 기출 문풀은 강의는 듣지 않았습니다  부족하다고 생각되는 문법 파트만 찾아서 따로 강의를 듣다가  그래도 패스 끊었는데 한 번 들어보자 안 듣는 것보다는 낫겠지 하는 생각에서 문제 풀고 시간이 좀 널널했을 때     제 강의를 한 번 들어보았는데 웬걸   어느 부분에서 연계문제인지를 파악할 수 있는지 같은 문제 풀 때에 좋은 꿀팁들을 알려주시더라구요 문풀 강의를 듣기 전에는 어찌저찌 시간 내에 다 풀기는 하였지만 시간에 쫓겨서 몇문제 찍는 경우도 있었고 조금 헷갈리는 문제들이 한 세트에    문제씩 꼭 있었습니다  하지만 강의를 듣고 나서는 문제를 어떻게 풀어야 하는지를 알게 되니 정답률도 올라가고  푸는 속도도 빨라진 게 느껴졌어요  실제로 시험장에서   는 조금 공부가 부족했었는지 이 날 점수가 제일 낮았지만    점      는 정말 원래        정도 나오는데    맞고 아쉬운    점 맞구 토익 졸업했습니다         기타의견      나만의 공부         토익 같은 경우에는 독해도 이외에 잡아두면 좋은 것이   물론 뻔하지만 가장 중요한건  어휘와 문법  입니다  모두가 강조하는 이유가 있어요    저 같은 경우 파트   파트 이 약하고 파트 이 가장 자신 있었는데 가장 도움이 되었던 건 학부 강의 때 공부했던  영어원서  읽기 였던 것 같습니다  수능  등급 맞고 대학교  학년 때 모의토익 봤을때    점이었습니다  하지만 영어 원서를 많이 읽고   단어 를 외우고   달 정도 토익을 본격적으로 공부해 보면서 든 생각이  생각보다 어렵지 않다  였습니다  그만큼 도움이 많이 되었던 것 같습니다  물론 시간이 널널한 경우가 아니라면 이 방법은 조금 많이  부담스러울 거에요  그래서 토익 가르치는 분들이 모두 강조하는 게  문법 과  어휘  인 것이겠죠     저는 아쉽게  점차이로    점을 못 넘겼지만  여러분들이 저 대신 넘어주세요     화이팅   열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
안녕하세요  토익을 처음으로 수강하고 있는 학생입니다   목표점수는    점이었는데  학교다니며 이것저것 너무 바빠서 공부에 소홀한탓에 첫 토익점수가    이 되는지는 모르겠네요   하지만    으로 시작해서 꼭 언젠가    까지 찍고 토익을 졸업하도록 하겠습니다  강의 중 도움이 많이 되었던 강의는 전미정선생님   강의였습니다   는 시간이 부족해서 그렇지  고등학교때 영어지문 독해하곤하던 경험이 있어서 어떻게 하는건지 감이 잡히는데   는 도통 모르겠더라고요 전미정 선생님의 한권으로 끝내는 해커스 토익      리스닝 강의는 토익이 익숙하지 않은 초중급자를 대상으로 이해하기 쉽게 수업이 진행되어서 좋았어요 전반적인   의 유형뿐만 아니라  타이밍에 맞추어 사고하고 문제에 체크하는 연습까지 같이 할 수 있어서 추천하는 강좌입니다  토익공부 더 열심히 해서 꼭 원하는 목표점수 도달하고 싶어요 해커스 강의 남은거 더 들으면서 열심히 공부하려고 해요 화이팅,TOEIC
우선 오랜만에 영어 공부를 해서 다 까먹은바람에 기초강의 를 다지고자 첫토익을 수강하였습니다  정말 입문자의 관점에서 설명해주셔서 쉽게 이해할수있었습니다  감사히 수강하였습니다  목표점수 달성해서 더 높은 점수 강의 수강하러 떠나겠습니다     모두 열공하세요,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요      점입니다      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  강상진 선생님의 해커스토익 스타트 리딩 문법을 수강했습니다  문법을 모르진않지만 기초부터 탄탄히 쌓고 싶어서 수강하게 되었습니다  수강목적과 맞게 이 강의는 문법의 기초를 잡는데 도움이 되었습니다  불필요한 내용들은 굳이 언급하지않고 중요하고 필요한 내용은 꼭 집어주시고  중간중간 선생님의 팁을 정리해서 화면에 띄워 주실때  이해하는데 도움이 됐습니다  또 설명하실때 적절한 비유를 곁들여주셔서 이해가 빠르게 되었습니다  그리고 문제 적용할 때 헷갈릴만한 부분은 더 설명을 해주셔서  그럼 이건 어떻게 해야하지   하는 의문을 바로 해결할 수 있었습니다       기타의견      나만의 공부      책을 구매했지만 필기를 하면서 들으려고 노력했습니다  쓰면서 헷갈렸던 부분과 기억해야할 것들은 표시하면서 강의를 들을 때 더 집중이 되는 것 같았기 때문입니다    열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   목표점수는    점 입니다      내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  기본이 많이 부족했는데 처음부터 차근차근 알려주셔서 어려움 없이 학습할 수 있었어요  한나 선생님의   강의를 들었는데  추가 자료집의 내용 구성이 알차고 꿀팁들을 많이 알려주셔서 많이 도움이 되었어요         기타의견      나만의 공부      꾸준히 공부하고     쉐도잉 잘하고  해커스 토익 영단어 꾸준히 외우기     열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
토익을 처음 접하고 가장 걱정이 되었던 파트가   파트 였습니다  문법이나 독해는 맨땅에 헤딩한다는 심정으로 무작정 외우면 어느 정도 수준의 점수를 받을 수 있지만  듣기는 열심만으로 될 문제가 아니라고 생각했기 때문입니다  이런 저의 수준에서 참으로 많은 고민을 하던 중  수강하게 된 강의가 바로  해커스 토익 왕기초           입니다   발음부터 하나하나 짚어가며 지도하시는 선생님의 정성과 여러분의 노력이 합해진다면 여러분이 목표로 하는 점수로 다가가는 아주 튼튼한 디딤돌이 될 강의가 바로  해커스 토익 왕기초           입니다   교재의 마지막 장을 덮으며 수강을 마무리할 때 여러분의 온몸에 체화된 토익          의 모든 것을 한 번 경험해 보세요  다음 토익 시험일을 기다리고 있을 여러분을 발견하게 될 것입니다 ,TOEIC
토익 고득점을 받은 친구들이 토익 점수를 높이려면 먼저 리스닝부터 잡아야 한다고 하더라고요  그래서 실전 문제 풀이 강의를 선택해 공부해보았습니다  열정적이고 설명을 친절히 해주시는 강사님 덕분에 리스닝 할 때 어떤 점을 유의해야 하는지를 알고  실전 문제를 여러 번 접하고  반복해서 풀다 보니 어느 정도 감이 잡히더라고요  결과적으로 리스닝 점수도   점 넘게 상승하여 리스닝 점수는    점을 받았습니다  이렇게 강의를 성실히만 따라가면 원하는 점수를 얻을 수 있다는 확신이 생겨서 리딩도 해커스 인터넷 강의로 공부해 목표점수    점까지 열심히 달려보려 합니다  ,TOEIC
