reviews,category
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요  목표점수는    점인데 아직 목표점수에 미치진 못합니다    수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  리딩에 김지현 강사님 수업을 전부 다들었는데 잘 가르쳐 주셔서 많은 도움이 되었습니다  설명도 깔끔하시고 추가적인 비슷한 예문들과 영문 뜻을 알려주어 상황에 대한 정확한 뜻풀이도 해주셔서 단어나 숙어를 외우는데 도움이 되었습니다  리스닝에 신영화 강사님도 원어민들의 발음에 대한 정확한 설명과 발음을 다시한번 보여주셔서 원래 생각했던 발음과 다른점도 잘 알게 되었고  문제 풀이에 대한 팁도 많이 가르쳐 주셔서 좋았습니다      기타의견      나만의 공부      제가 원래 독학으로 공부하여 문제 풀이에 시간이 많이 부족했는데 리딩과 리스닝 모두 문제를 푸는 팁을 많이 알려주셔서 시간 절약도 많이 했고 유형에 대한 문제 풀이방법도 많이 배웠습니다  아직 목표점수에 많이 부족하지만 꾸준히 해서 목표했던 점수까지 골인하겠습니다  열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
목표점수는    점이고 영어를 잘못해서 기초부터 가자는 마음으로 시작할려 합니다 다른분들도 화이팅 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요       수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  리스닝은 들리면서 들리지 않는듯  어렵기만 했는데 어떤 부분을 중점적으로 들어야하는지 등 설명해주셔서 좋았어요  실전에선 생각만큼 잘 되진 않았지만 그래도 확실히 내가 뭘 더 노력해야하는지 알겠더라구요  감사합니다       기타의견      나만의 공부      목표한 점수에 도달하진 못했지만 그래도 꾸준히 영어공부 해보려고 합니다  작심삼일이 될진 잘 모르겠지만  해커스 토익 수업 들었던 것이 마음을 먹는데 도움이 되었어요    열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요       수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  리스닝은 들리면서 들리지 않는듯  어렵기만 했는데 어떤 부분을 중점적으로 들어야하는지 등 설명해주셔서 좋았어요  실전에선 생각만큼 잘 되진 않았지만 그래도 확실히 내가 뭘 더 노력해야하는지 알겠더라구요  감사합니다       기타의견      나만의 공부      목표한 점수에 도달하진 못했지만 그래도 꾸준히 영어공부 해보려고 합니다  작심삼일이 될진 잘 모르겠지만  해커스 토익 수업 들었던 것이 마음을 먹는데 도움이 되었어요    열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요    목표점수는    점이상 이었습니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요       점 목표  해커스 토익                     로 기초를 잡고      점 목표  해커스 토익 실전     제                      목표  해커스 토익 실전     제            로 실전 감각을 올렸습니다       기타의견      나만의 공부       우선   를 먼저 얘기하면 교재 구성이 잘 짜여져 있고  기본서만 참고하셔도 충분합니다   파트    같은 경우는 책내용   강의내용 필기만 하여 공부해도 충분하다는 느낌을 받았습니다  문제와 보기가 짧으므로 받아쓰기 및 쉐도잉을 연습했는데  저는 이 공부법이 저에게 정말 많은 도움이 되었습니다   그리고 파트 의 경우는 자주 나오는 주요 단어들 위주로 암기하는 것이 중요한 데 나중에 시험보기 전에 다시보면 좋습니다   파트    는 팟   와 다르게 다소 긴 지문이라 받아쓰기는 전부 진행하지 않고 정답에 근거가 되는 문장을 받아쓰기했고 모르는 단어는 따로 정리하면서 외웠습니다  파트    는 듣기 실력도 중요하지만 어휘력도 중요하다고 생각합니다  그래서 몰랐던 단어는 자기 전에 단어장을 토대로 복습하였습니다     의 경우는 정말 시간 관리가 제일 중요합니다  강의 전에는 전부 풀지는 못하고   개 씩은 못 보고 나오곤 했지만 수업을 잘 듣고 공부가 누적되면서 많은 갯수보다 정답률을 높이기 위해 노력했더니 숙련도가 높아지면서 전부 다 풀 수 있었습니다   파트    어휘력과 문법이 중심이라고 생각합니다  문법은 수업 중에 배우는 내용을 복습하고 빈출되는 문법은 반드시 숙지하고  본인의 역량을 더 끌어올리기 위해서는 단어장이 필수라고 생각합니다   파트    수업 중에 선생님이 알려주신 팁들 및 문장의 흐름을 잘 이해하신다면 정답이 늘어가는 게 보이실 겁니다   특히 매일 전날 단어 암기하고 다음날 어휘 시험 및 파트   문제를 푸는 데 이게 저한테 좋은 훈련이 되었습니다  시간 관리 및 정답룰 높이기   파트      형광펜 학습법  어휘력은 너무 당연한 거라 넘어가고  형광펜 학습법으로 어디가 정답에 근거한 문장인지 알게 되면 다른 유형 문제들을 풀 때도 많은 도움을 받을 수 있습니다         기본서를 꼼꼼하게 탐독하고 그리고     제     제를 풀면서 실제 시험 본다는 느낌으로 먼저 풀고 강의를 보면 더욱 좋습니다     마지막으로    점 이상을 받을 수 있게 해준 모든 선생님들께 너무 감사드립니다   여러분도 수업을 알차게 들으시고 꼭 복습도 병행하세요 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   목표 점수는    점이었습니다  아쉽게도    점수 미달로 목표 점수를 이루지는 못했지만   는 좋은 결과를 이루었기에 한나쌤을 계속 들을 예정입니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요       목표  한 권으로 끝내는 해커스 토익                전반부 강의를 들었습니다  한나쌤 강의였는데 포인트들을 찝어주었습니다  이 점이 정말 좋았습니다  미국식 영국식 발음을 구분했고             등등에서 절대 나오면 안 되는 것들을 알려주어 보기를 걸러가면서 문제를 푸는 능력을 길렀습니다  모의고사를 혼자 볼 때는    점을 거뜬히 넘기는 점수도 받았을만큼 효과는 대단했고  노베이스에서    주만에 이정도 성장이 놀라웠습니다       기타의견      나만의 공부      선생님 말씀대로만 그대로 따라하면 점수 금방 올릴 수 있습니다  특히나   는 단기간에 점수 올리는게 가능하더라고요  단기간에 확실히 점수 올리고 싶으시면 그냥 한나쌤 강의 듣고  한나쌤이 하라는 그대로 하면 됩니다     은 확실하게 넘깁니다    열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   목표점수는     입니다        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  제가 들은 강의는 토익 왕기초리스닝 민지원 선생님입니다  부끄럽지만 영어를 잘 못하는 사람이어서 왕기초부터 시작하게 되었습니다  영어는 실생활에 도움이 되므로 영어를 조금이라도 늘리고 싶단 생각에 제일 먼저 한 게 해커스에 들어가서 토익을 구매하는 것이었습니다   원래 해커스에서 주신 기본 교재로 해봤으나 처음부터 시작하기엔 어렵다고 생각이 들어서 왕기초를 구매하게 되었습니다  제가 한 선택은 다시 생각해도 후회하지 않습니다 기초부터 차근차근 알려주시고 사근사근하게 말해주시니 이해도 잘되고 너무 좋았던 것 같습니다  덕분에 다음 난이도의 책을 풀어도 나름 괜찮은데 라는 느낌을 받았습니다  너무 감사해요 선생님        기타의견      나만의 공부       공부 팁은 없고 강의 들으면서 문제를 풀었는데 강의가 비교적 짧아서 덕분에 집중도 잘 되고 너무 좋았습니다      열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영 ,TOEIC
토익이 필수가 된 지금 영어를 포기한 저에게는 매우 힘든 상황입니다  겨울방학기간 동안 시작해서 지금까지 해커스 토익을 달려오고있지만 여전히 쉽지 않습니다  늘 어렵고 힘든 과목인 영어를 조금이라도 친숙하게 느끼게 해주신게 전미정쌤입니다     성적이 좋게 나오지 않아    라도 한번 해보자는 마음으로 시작하였습니다  강의 처음 시작부터 쌤 남자친구는 수태씨 하면서 강의 하시는 모습이 매우 인상적이라 절대로 까먹지 않을 예정입니다  설명을 매우 깔끔하고 이해하기 쉽게 해주시며 마무리 정리 해주시는 것이 많은 도움이 되었습니다     일이라는 기간이 너무 짧은데 학기중에는 토익에 많은 시간을 쏟을 수 없어 하루에 하나씩이라도 듣고 있습니다  역시 토익은 점수잡는 해커스 성적 올리고 고듯점을 위해 화이팅,TOEIC
     강의 후기 입니다  우선 저는 첫 토익 시험이었고 모의토익 같은 경우는    점 초반 정도 나왔고 강의 수강 후  개월정도 후에 시험에 응시 했습니다    같은 경우에는 전반부 후반부 강의만 들었는데    점 취득했습니다   쉐도잉이나 모의고사 병행을 했더라면    점이상도 토익 스타트 리스닝으로 충분히 커버 가능할 거 같다고 생각합니다   문법 기초나 독해 부분은 한 줄 이상은 해석이 불가능한 정도에서 시작했고 문법을 하루 강의  개 정도 잡고 공부했고 단어의 경우는 모르는 게 너무 없어서 암기를 따로 하는 것 보다는 모르는 단어를 정리해서 자주 볼 수 있도록 공부를 했습니다  목표 점수인    점까지는 많이 남았지만 헤커스 토익스타트로 기초를 탄탄하게 했기 때문에 더 노력하면 목표하는 점수를 이룰 수 있을 거라고 생각합니다 ,TOEIC
꾸준히 할 수 있는 강의가 좋은 강의라고 생각합니다    해커스 토익 강의를 들으면서 평소 약했던 부분인 토익 리스닝에 대한 공부를 꾸준히 할 수 있었습니다    강사님이 강의에서 말씀하셨던 것처럼 토익 리스닝에 대한 기술들을 갈고 닦으니까 실제 시험장에서 보다 더 잘들릴 수 있었습니다    강의가 너무 길게 가지 않으면서  딱 집중력이 떨어지려고 할 시점 즈음에 강의가 끝나는 것도 해커스 토익의 장점이라고 생각합니다   한 강의의 길이가 너무 길면  수강하느라 지치는 경우도 많은데 그러지 않아서 좋아요    그리고 해커스에서 제작한 교재와 강의와의 싱크로가 잘 맞아서  교재를 통해 강의 내용을 짐작할 수 있고  강의를 통해 교재 내용이 보다 잘 이해되는 시너지를 가지고 있다고 생각합니다   그리고 교재에서 복습할 수 있도록     등 다양한 학습환경을 제공하고 있는 것도 해커스 토익의 장점들 중 하나라고 생각합니다   저 역시도 복습을 한 덕분에 리스닝 점수에서 비약적인 상승을 이뤄낼 수 있었습니다  원래    점대였는데  월 시험에서    점을 넘길 수 있었습니다  이 점수들은 모두 리스닝 점수에서 점수가 상승한 덕분이에요   덕분에 잘 듣고    점 넘겨서 토익을 졸업합니다  좋은 책  좋은 강의 만들어주셔서 감사합니다 ,TOEIC
