reviews,category
학생 때는 좋은 학점을 목표로  이후에는 취업을 목표로 자격증 공부를 했는데  대학교를 졸업하고  취업도 하고나니 더이상 공부를 할 일이 없었습니다  매일매일 회사업무만 하고 살다보니 공부에 대한 목표가 없는 삶을 살았었는데  어느날 갑자기 영어 공부나 해볼까  라는 마음이 생겼고  토익은 목표설정을 해서 점수로 내 노력에 대한 결과가 나오는 시험이라서 토익을 시작하게 되었습니다  직장생활을 하고 있어 학원을 직접가기는 어려워 해커스 인강을 통해서 토익 공부를 시작하려고 알아보는데  환급반 과정이 있다는 것을 알고서 이것을 선택하지 않을 수 없었습니다  매일매일 성실하게  강좌 이상의 학습을 하였고    일 정도 경과하였을 때 토익 시험을 보고 왔습니다  인생에서 처음으로 토익시험을 본 것이라서 첫 시험 결과는 시작이지만  아무 기초가 없었떤 상태에서 해커스인강을 통해서 학습을 하고 가니   에서도   에서도 모두 기본은 하고 왔다는 생각이 드네요  지금이 첫 시작이었고 최종 목표 점수    점이 될때까지  멈추지 않고 그 목표를 이루는 날이 빨리 오기를 바랍니다     한나 선생님 강의를 통해서 첫 토익을 시작하였는데  처음 시작하고 하는 분들께 강력 추천합니다  기초부터 탄탄히 정리를 해주셔서 많은 도움이 되었습니다  환급반을 통해서 매일매일 하루  강좌씩 들어야 한다는 의무감에 더 열심히 할 수 있었던 것 같습니다 ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요     이상  수강 후  시험을 보셨다면 달성점수도 자랑해 주세요        내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  리스닝 혼동되는 단어 잘 알려주심      기타의견      나만의 공부       열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영    첫토익  원  첫토익 왕기초 완성반       왕기초       그래머 게이트웨이  인강 후기를 올립니다  토익을 처음부터 시작해 왕기초 반을 신청해서    동안 들었습니다  그래머 게이트위이로 공부를 하여 기초 영문법을 배우고 리스닝과 리딩문법 독해 로 공부하고 틈틈히 기출보카를 보고 단어공부를 했음   그래머 게이트웨이  기초가 부족하다면 매우좋음 리스닝  천천히 기초부터 다지게해줌 리딩 문법 독해  외울게 좀 있지만 어떻게 외우는지랑 재밌는 암기법으로 잘 알려주심,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요      기타의견      나만의 공부      열공의 흔적을 매력넘치는 사진으로 인증해주세요       성적표  노트필기  플래너 등 공스타그램 사진 대환영      점     가 조금 부족해서 점수는 나오지 않았지만    는    점대를 유지하고 있어요   처음 듣는 토익수업이었는데 개념부터 방법까지 모두 알려주셔서 도움이 되었어요  인강인데도 현장강의처럼 힘차게 강의해주셔서 집중력있게 공부할 수 있었습니다  워낙 유명하신 분이어서 의심없이 수강신청했는데 좋은 결과 나오길 기대하고 있습니다  현장강의도 엄청 궁금해요    동의어  패러프레이징 등 알고있어야하는 내용을 잘 알려주시고  들어야하는 포인트를 잘 집어주셨어요 인강이지만  매일 같은시간에 꾸준히 하는게 도움이 되더라구요  모두들 토익인강 열심히 들으시고 좋은 결과 있으시길 바랍니당   ,TOEIC
      점으로 시작해서  달만에    점을 찍게 만들어 주시고 강의를 듣지 않아도    점은 유지하게 만드는 기본 실력을  만들어 주셨어요        의    푸는 방법을 정확하고 또 자연스럽게 익히도록 강의에서 가르쳐 주기 때문에 똑같이 따라만 하면  자연스럽게 성적이 많이 오르는거 같아요   월달 토익시험   에서    점을 맞았어요  강사님 방법대로 풀면   에서 여유도 생기고   에서 여유가 생기면서   에서도 제정신으로 문제를 풀 수 있네요  지금   성적이    점대라서 조금씩 공부하면서 매 시험마다 최고성적을 갱신하고 있어요 여러 강의를 들어봤지만   하나만큼은 해커스가 최고입니다  ,TOEIC
수업내용이나 수업방식에 대해 자유롭게 후기를 작성해주세요      목표점수는 몇점인가요   수강 후  시험을 보셨다면 달성점수도 자랑해 주세요   저는 만점이 목표인데 아직은    점 이에요       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  환급반이라 많은 강사님 강의를 들었지만 사실 김동영강사님만 알고 있었어요  그런데 아    제가 신청한 과정에는     김동영강사님 강의가 없더라구요  듣기에서 늘 고득점이 나와서 점수는 늘 낮은 편은 아니였지만 문법과 고급 어휘가 늘 구멍이여서 기본부터 차곡차곡 쌓고 싶었던 저에게 주대명 강사님은 진짜 단비같은 존재였어요   목소리가 굉장히 차분하시지만 하나하나 주옥같은     설명     그리고 공부자료가 정말 일목요연하고 보기 좋게 되어있어서 초보자든 실력자든 모두가 좋아할 수 밖에 없는 교육자료입니다       기타의견      나만의 공부      저는 매일 조금씩이라도 공부하길 권해요  각 파트별로 조금씩요 특히 파트  은 매일  지문에 문제 여러개 인 부분을 풀어야 나중에 부담이 없어요 ,TOEIC
    목표점수는 몇점인가요     점  비록 달성은 못했지만 기본을 튼튼히 다질 수 있었습니다       내가 들은 강의  선생님이 어떤 도움이 되었는지 공유해주세요  장종훈 선생님    강의가 도움이 되었습니다       기타의견      나만의 공부      영어단어 무조건 외우고  인강에서 선생님이 하라고 하는 거 다하기    기본은 아는데 입문은 쉽고  그렇다고 어려운 강의는 이해 안되고 싶은 분들은 장종훈 선생님    강력추천 합니다  저도 김동영선생님 강의 듣다가 너무 어렵고 기본보다는 기본을 아는 하에 응용된 문제들을 잘 설명해주셔서 따라잡기 힘들었습니다  그때 장종훈 선생님 강의를 듣고 김동영선생님 강의를 들으니 진짜 이해가 잘되고 너무 재밌었습니다 ,TOEIC
모의고사 강의는 필수죠 아주좋습니다 도움많이되요,TOEIC
모의고사 강의 추천합니다 정말도움되요,TOEIC
독해를 처음공부한다면 아주아주 추천합니다 강의좋아용,TOEIC
기초부터 시작해서 너무 좋습니다 토익을 처음 시작할 때 아주 유익한 강의인 것 같아요 추천합니다    ,TOEIC
